,Unnamed: 0,created_at,full_text,Label,tokenize text,stop removal text,stemmed_text,Unnamed: 0.1
0,0,Wed Jan 31 21:21:49 +0000 2024,baru tau aneh kan terus masih mau bangun ikn makan gratis susu geratis fod astate gagal mungkin kalau untuk mensejahterakan guru sudah luar biasa,0.0,"['baru', 'tau', 'aneh', 'kan', 'terus', 'masih', 'mau', 'bangun', 'ikn', 'makan', 'gratis', 'susu', 'geratis', 'fod', 'astate', 'gagal', 'mungkin', 'kalau', 'untuk', 'mensejahterakan', 'guru', 'sudah', 'luar', 'biasa']","['baru', 'tau', 'aneh', 'kan', 'terus', 'mau', 'bangun', 'ikn', 'makan', 'gratis', 'susu', 'geratis', 'fod', 'astate', 'gagal', 'mungkin', 'kalau', 'mensejahterakan', 'guru', 'luar', 'biasa']",baru tau aneh kan terus mau bangun ikn makan gratis susu gerat fod astate gagal mungkin kalau sejahtera guru luar biasa,
1,1,Tue Mar 26 15:43:32 +0000 2024,intinya tetap salah pemerintah sih kenapa akses jalanan masih jelek tapi fokus bikin ikn buat mobil terbang wkwk,0.0,"['intinya', 'tetap', 'salah', 'pemerintah', 'sih', 'kenapa', 'akses', 'jalanan', 'masih', 'jelek', 'tapi', 'fokus', 'bikin', 'ikn', 'buat', 'mobil', 'terbang', 'wkwk']","['intinya', 'tetap', 'salah', 'pemerintah', 'sih', 'akses', 'jalanan', 'jelek', 'fokus', 'bikin', 'ikn', 'buat', 'mobil', 'terbang', 'wkwk']",inti tetap salah perintah sih akses jalan jelek fokus bikin ikn buat mobil terbang wkwk,
2,2,Wed Jan 31 04:27:47 +0000 2024,maksudnya berkelanjutan fod estate gagal hilirisasi nikel yang ruwet kereta cepat hutang negara tahun baru lunas keberlanjutan memaksa ikn harus selesai sebelum tahun menyedot anggaran pendapatan dan belanja negara besaran keberlanjutan pajak segala pajak naik terus ogah ah,0.0,"['maksudnya', 'berkelanjutan', 'fod', 'estate', 'gagal', 'hilirisasi', 'nikel', 'yang', 'ruwet', 'kereta', 'cepat', 'hutang', 'negara', 'tahun', 'baru', 'lunas', 'keberlanjutan', 'memaksa', 'ikn', 'harus', 'selesai', 'sebelum', 'tahun', 'menyedot', 'anggaran', 'pendapatan', 'dan', 'belanja', 'negara', 'besaran', 'keberlanjutan', 'pajak', 'segala', 'pajak', 'naik', 'terus', 'ogah', 'ah']","['maksudnya', 'berkelanjutan', 'fod', 'estate', 'gagal', 'hilirisasi', 'nikel', 'ruwet', 'kereta', 'cepat', 'hutang', 'negara', 'tahun', 'baru', 'lunas', 'keberlanjutan', 'memaksa', 'ikn', 'selesai', 'tahun', 'menyedot', 'anggaran', 'pendapatan', 'belanja', 'negara', 'besaran', 'keberlanjutan', 'pajak', 'segala', 'pajak', 'naik', 'terus', 'ogah', 'ah']",maksud lanjut fod estate gagal hilir nikel ruwet kereta cepat hutang negara tahun baru lunas lanjut paksa ikn selesai tahun sedot anggar dapat belanja negara besar lanjut pajak segala pajak naik terus ogah ah,
3,3,Thu Mar 28 02:29:49 +0000 2024,lah kan itu salah satu dosanya apa mau disebutkan semua fod estate ikn obligasi gagal bayar birth rate turun kenaikan harga bahan pokok kenaikan harga bm stunting masih stuck angka pemutusan hubungan kerja naik kemiskinan struktural makin kompleks enaknya pakai yang mana,0.0,"['lah', 'kan', 'itu', 'salah', 'satu', 'dosanya', 'apa', 'mau', 'disebutkan', 'semua', 'fod', 'estate', 'ikn', 'obligasi', 'gagal', 'bayar', 'birth', 'rate', 'turun', 'kenaikan', 'harga', 'bahan', 'pokok', 'kenaikan', 'harga', 'bm', 'stunting', 'masih', 'stuck', 'angka', 'pemutusan', 'hubungan', 'kerja', 'naik', 'kemiskinan', 'struktural', 'makin', 'kompleks', 'enaknya', 'pakai', 'yang', 'mana']","['lah', 'kan', 'salah', 'satu', 'dosanya', 'apa', 'mau', 'disebutkan', 'semua', 'fod', 'estate', 'ikn', 'obligasi', 'gagal', 'bayar', 'birth', 'rate', 'turun', 'kenaikan', 'harga', 'bahan', 'pokok', 'kenaikan', 'harga', 'bm', 'stunting', 'stuck', 'angka', 'pemutusan', 'hubungan', 'kerja', 'naik', 'kemiskinan', 'struktural', 'makin', 'kompleks', 'enaknya', 'pakai', 'mana']",lah kan salah satu dosa apa mau sebut semua fod estate ikn obligasi gagal bayar birth rate turun naik harga bahan pokok naik harga bm stunting stuck angka putus hubung kerja naik miskin struktural makin kompleks enak pakai mana,
4,4,Wed Mar 27 08:40:25 +0000 2024,ribet karena ada ikn bayangkan ikn gagal,0.0,"['ribet', 'karena', 'ada', 'ikn', 'bayangkan', 'ikn', 'gagal']","['ribet', 'ada', 'ikn', 'bayangkan', 'ikn', 'gagal']",ribet ada ikn bayang ikn gagal,
5,5,Wed Mar 27 05:33:08 +0000 2024,tidak punya urat malu jangan lupa bulan jelek menjelekkan iknfodestate bulan langsung ke ikn dan muji khas penjilat,0.0,"['tidak', 'punya', 'urat', 'malu', 'jangan', 'lupa', 'bulan', 'jelek', 'menjelekkan', 'iknfodestate', 'bulan', 'langsung', 'ke', 'ikn', 'dan', 'muji', 'khas', 'penjilat']","['punya', 'urat', 'malu', 'jangan', 'lupa', 'bulan', 'jelek', 'menjelekkan', 'iknfodestate', 'bulan', 'langsung', 'ikn', 'muji', 'khas', 'penjilat']",punya urat malu jangan lupa bulan jelek jelek iknfodestate bulan langsung ikn muji khas jilat,
6,6,Thu Mar 28 06:10:27 +0000 2024,prestasi presiden amp calon presidennya hebat ya halusinasinya ujungnya semua mangkrak duitnya menguap begitu saja lagi beban rakyat menangung utang solusinya pajak gilaan hasil makmurkan dinasti bukan rakyatnya otopilot dengan hambalangnya pinokio dengan ikn nya neo orde baru dengan fod estatenya,0.0,"['prestasi', 'presiden', 'amp', 'calon', 'presidennya', 'hebat', 'ya', 'halusinasinya', 'ujungnya', 'semua', 'mangkrak', 'duitnya', 'menguap', 'begitu', 'saja', 'lagi', 'beban', 'rakyat', 'menangung', 'utang', 'solusinya', 'pajak', 'gilaan', 'hasil', 'makmurkan', 'dinasti', 'bukan', 'rakyatnya', 'otopilot', 'dengan', 'hambalangnya', 'pinokio', 'dengan', 'ikn', 'nya', 'neo', 'orde', 'baru', 'dengan', 'fod', 'estatenya']","['prestasi', 'presiden', 'amp', 'calon', 'presidennya', 'hebat', 'halusinasinya', 'ujungnya', 'semua', 'mangkrak', 'duitnya', 'menguap', 'saja', 'beban', 'rakyat', 'menangung', 'utang', 'solusinya', 'pajak', 'gilaan', 'hasil', 'makmurkan', 'dinasti', 'bukan', 'rakyatnya', 'otopilot', 'hambalangnya', 'pinokio', 'ikn', 'nya', 'neo', 'orde', 'baru', 'fod', 'estatenya']",prestasi presiden amp calon presiden hebat halusinasi ujung semua mangkrak duit uap saja beban rakyat menangung utang solusi pajak gila hasil makmur dinasti bukan rakyat otopilot hambalangnya pinokio ikn nya neo orde baru fod estatenya,
7,7,Wed Feb 28 08:16:34 +0000 2024,pokoknya politik identitas dan uang muka gtgtgtgtgtgtgtgtgt kasus ham kasus santa crush babat hutan gagal ngabisin ratusan t pencemrana lingkungan karena ikn dan hilirisasi hutang negara politik dinasti tabrak mk begitu kan bagi kalian itu uang muka sama politik identitas dosanya besar banget,0.0,"['pokoknya', 'politik', 'identitas', 'dan', 'uang', 'muka', 'gtgtgtgtgtgtgtgtgt', 'kasus', 'ham', 'kasus', 'santa', 'crush', 'babat', 'hutan', 'gagal', 'ngabisin', 'ratusan', 't', 'pencemrana', 'lingkungan', 'karena', 'ikn', 'dan', 'hilirisasi', 'hutang', 'negara', 'politik', 'dinasti', 'tabrak', 'mk', 'begitu', 'kan', 'bagi', 'kalian', 'itu', 'uang', 'muka', 'sama', 'politik', 'identitas', 'dosanya', 'besar', 'banget']","['pokoknya', 'politik', 'identitas', 'uang', 'muka', 'gtgtgtgtgtgtgtgtgt', 'kasus', 'ham', 'kasus', 'santa', 'crush', 'babat', 'hutan', 'gagal', 'ngabisin', 'ratusan', 't', 'pencemrana', 'lingkungan', 'ikn', 'hilirisasi', 'hutang', 'negara', 'politik', 'dinasti', 'tabrak', 'mk', 'kan', 'kalian', 'uang', 'muka', 'sama', 'politik', 'identitas', 'dosanya', 'besar', 'banget']",pokok politik identitas uang muka gtgtgtgtgtgtgtgtgt kasus ham kasus santa crush babat hutan gagal ngabisin ratus t pencemrana lingkung ikn hilir hutang negara politik dinasti tabrak mk kan kalian uang muka sama politik identitas dosa besar banget,
8,8,Wed Jan 31 09:21:03 +0000 2024,tahun merdeka kebutuhan rakyat pendidikan kesehatan mana pernah bisa terpenuhi menurutmu tahun kepemimpinan amin bisa kalau pakai analogimu ya ikn bakal mangkrak lah,0.0,"['tahun', 'merdeka', 'kebutuhan', 'rakyat', 'pendidikan', 'kesehatan', 'mana', 'pernah', 'bisa', 'terpenuhi', 'menurutmu', 'tahun', 'kepemimpinan', 'amin', 'bisa', 'kalau', 'pakai', 'analogimu', 'ya', 'ikn', 'bakal', 'mangkrak', 'lah']","['tahun', 'merdeka', 'kebutuhan', 'rakyat', 'pendidikan', 'kesehatan', 'mana', 'pernah', 'terpenuhi', 'menurutmu', 'tahun', 'kepemimpinan', 'amin', 'kalau', 'pakai', 'analogimu', 'ikn', 'bakal', 'mangkrak', 'lah']",tahun merdeka butuh rakyat didik sehat mana pernah penuh turut tahun pimpin amin kalau pakai analogi ikn bakal mangkrak lah,
9,9,Wed Feb 28 12:10:46 +0000 2024,ikn penuh dusta yakin mangkrak,0.0,"['ikn', 'penuh', 'dusta', 'yakin', 'mangkrak']","['ikn', 'penuh', 'dusta', 'yakin', 'mangkrak']",ikn penuh dusta yakin mangkrak,
